,restaurant,cuisines,average check,number of reviews,user's rating
0,One Teaspoon,"Европейская,Подходит для вегетарианцев,Для веганов,Безглютеновые блюда",1500,168,5.0
1,Verde cafe,"Современная,Подходит для вегетарианцев,Для веганов,Безглютеновые блюда",1500,136,5.0
2,Русский паб | Russian pub,"Русская,Подходит для вегетарианцев,Для веганов",1500,84,5.0
3,"Практика by Darvin, Ленком","Итальянская,Средиземноморская,Европейская,Подходит для вегетарианцев",1500,127,5.0
4,Косой Маркс,"Бар,Паб",700,113,5.0
5,Пита-бар Meat Me,"Турецкая,Греческая,Ближневосточная,Израильская,Подходит для вегетарианцев",700,108,4.5
6,Вай Мэ!,"Кафе,Закусочная,Грузинская,Подходит для вегетарианцев,Безглютеновые блюда,Для веганов",700,931,4.5
7,Лепим и жарим,"Европейская,Русская,Подходит для вегетарианцев",1500,1385,4.5
8,Стейк Хаус Бутчер,"Американская,Стейк-хаус,Европейская,Центральноевропейская",3000,215,4.5
9,"Кафе ""Варвара""","Кафе,Европейская,Русская,Восточноевропейская,Центральноевропейская,Подходит для вегетарианцев,Для веганов,Безглютеновые блюда",1500,187,4.5
10,Эдоко,"Японская,Подходит для вегетарианцев,Для веганов",1500,135,4.5
11,Грабли Food Bar,"Европейская,Русская,Подходит для вегетарианцев,Для веганов,Безглютеновые блюда",700,167,4.5
12,Хмели-Сунели,"Европейская,Восточноевропейская,Грузинская,Подходит для вегетарианцев,Для веганов,Безглютеновые блюда",1500,522,4.5
13,Ресторан Зал Метрополь,"Европейская,Русская,Восточноевропейская,Центральноевропейская,Подходит для вегетарианцев,Для веганов,Безглютеновые блюда",3000,270,4.5
14,ИТАЛОНИЯ,"Пицца,Кафе,Винный бар,Итальянская,Европейская",700,201,4.5
15,Кафе «Пироги Вино и Гусь»,"Кафе,Европейская,Фьюжн,Центральноевропейская,Винный бар,Подходит для вегетарианцев,Для веганов",1500,164,4.5
16,ЭЗО,"Узбекская,Грузинская,Подходит для вегетарианцев,Для веганов,Безглютеновые блюда",1500,153,4.5
17,Winil Wine Bar,"Итальянская,Европейская,Азиатская,Винный бар,Скандинавская,Подходит для вегетарианцев,Для веганов,Безглютеновые блюда",1500,114,5.0
18,Ra Family,"Тайская,Фьюжн,Супы,Тибетская,Кафе,Подходит для вегетарианцев,Для веганов,Безглютеновые блюда",700,464,4.5
19,Шинок,"Европейская,Русская,Восточноевропейская,Центральноевропейская,Украинская,Подходит для вегетарианцев,Для веганов,Безглютеновые блюда",1500,606,4.5
20,Brooms,"Американская,Европейская,Русская",1500,54,5.0
21,Кафе Тажин,"Марокканская,Кафе,Морепродукты,Ближневосточная,Подходит для вегетарианцев,Для веганов,Безглютеновые блюда",1500,207,4.5
22,Ruta Española,"Средиземноморская,Испанская,Европейская,Подходит для вегетарианцев,Для веганов",700,68,5.0
23,Лепим и варим,"Фастфуд,Русская,Подходит для вегетарианцев,Для веганов",700,182,4.5
24,Фермерский ресторан LavкаLavка,"Европейская,Современная,Русская,Здоровая,Винный бар,Подходит для вегетарианцев,Для веганов,Безглютеновые блюда",1500,1123,4.5
25,AQ Kitchen,"Морепродукты,Средиземноморская,Европейская,Испанская,Центральноевропейская,Подходит для вегетарианцев,Для веганов,Безглютеновые блюда",1500,814,4.5
26,Стейк'S,"Средиземноморская,Европейская,Современная,Стейк-хаус,Безглютеновые блюда",1500,641,4.5
27,Йоркшир,"Бар,Европейская,Британская,Гриль",1500,149,4.5
28,"Ресторан ""5642 Высота""","Восточноевропейская,Подходит для вегетарианцев,Для веганов,Безглютеновые блюда",1500,695,4.5
29,Catch Бистро,"Суши,Азиатская,Морепродукты,Средиземноморская,Европейская,Подходит для вегетарианцев,Для веганов,Безглютеновые блюда",1500,333,5.0
30,Steak It Easy,"Стейк-хаус,Фьюжн,Бар,Европейская,Подходит для вегетарианцев,Для веганов,Безглютеновые блюда",1500,184,4.5
31,Кафе Сценарио,"Итальянская,Средиземноморская,Европейская,Русская,Бар,Пицца,Центральноевропейская,Подходит для вегетарианцев,Для веганов",1500,306,4.5
32,Хачапури,"Восточноевропейская,Грузинская,Подходит для вегетарианцев,Для веганов,Безглютеновые блюда",1500,1200,4.5
33,Wine & Crab Restaurant,"Морепродукты,Средиземноморская,Винный бар,Европейская,Безглютеновые блюда",1500,626,4.5
34,Одесса-мама,"Европейская,Русская,Восточноевропейская,Украинская,Для веганов,Подходит для вегетарианцев",1500,279,4.5
35,Рукав,"Морепродукты,Европейская,Русская,Центральноевропейская,Восточноевропейская,Подходит для вегетарианцев",1500,182,4.5
36,Булошная,"Европейская,Русская,Центральноевропейская,Кафе,Подходит для вегетарианцев,Для веганов",1500,180,4.5
37,Торро Гриль,"Стейк-хаус,Бар,Барбекю,Европейская,Центральноевропейская,Американская",1500,219,4.5
38,Сахли,"Подходит для вегетарианцев,Для веганов",1500,225,4.5
39,PIVBAR,"Бар,Паб",1500,149,4.5
40,Кафе Вай Мэ!,"Кафе,Фастфуд,Ближневосточная,Восточноевропейская,Подходит для вегетарианцев,Для веганов,Безглютеновые блюда",700,361,4.5
41,Пинцерия Бонтемпи,"Итальянская,Пицца,Средиземноморская,Европейская,Подходит для вегетарианцев,Для веганов,Безглютеновые блюда",1500,1007,4.5
42,Ресторан Матрёшка,"Русская,Центральноевропейская,Подходит для вегетарианцев,Для веганов,Безглютеновые блюда",3000,218,4.5
43,Стейк Хаус Бутчер,"Американская,Стейк-хаус,Барбекю,Европейская,Бар,Центральноевропейская",3000,177,4.5
44,Паста и баста,"Итальянская,Пицца,Морепродукты,Средиземноморская,Европейская,Подходит для вегетарианцев,Для веганов",1500,280,4.5
45,Чемодан,"Бар,Русская,Восточноевропейская",3000,296,4.5
46,Виа Романо,"Итальянская,Морепродукты,Средиземноморская,Европейская,Центральноевропейская",1500,229,4.5
47,15 Kitchen + Bar,"Морепродукты,Европейская,Центральноевропейская,Для веганов,Безглютеновые блюда,Подходит для вегетарианцев",1500,278,4.5
48,Burger&Pizzetta;,"Итальянская,Американская,Пицца,Кафе,Средиземноморская,Бар,Морепродукты,Европейская,Паб,Подходит для вегетарианцев,Для веганов,Безглютеновые блюда",1500,273,4.5
49,Практика,"Итальянская,Американская,Средиземноморская,Европейская,Морепродукты,Подходит для вегетарианцев,Для веганов",1500,131,4.5
50,Стейк Хаус Бутчер,"Американская,Стейк-хаус,Барбекю,Европейская,Центральноевропейская,Безглютеновые блюда",1500,602,4.5
51,Ламазо Хинкальная,"Барбекю,Кавказская,Грузинская,Гриль,Подходит для вегетарианцев,Для веганов",700,242,4.5
52,Дарбази,"Подходит для вегетарианцев,Для веганов",1500,192,4.5
53,WE Pub,"Ирландская,Бар,Европейская,Британская,Паб,Шотландская,Центральноевропейская",1500,316,4.5
